"Re","Im","Norm","Order"
3.9519,0,3.9519,3
3.3153,0,3.3153,4
2.183,0,2.183,5
1.7298,0,1.7298,6
0.4931,0,0.4931,7
-0.614,0,0.614,8
-1.1863,0,1.1863,9
-1.5016,0,1.5016,10
-1.6203,0,1.6203,11
-3.1261,0,3.1261,12
-3.9165,0,3.9165,13
-4.1955,0,4.1955,14
-4.7361,0,4.7361,15
6.7604,0,6.7604,1
5.7888,0,5.7888,2
3.9916,0,3.9916,3
3.2625,0,3.2625,4
2.4669,0,2.4669,5
1.3137,0,1.3137,6
0.9731,0,0.9731,7
-0.8817,0,0.8817,8
-1.7308,0,1.7308,9
-2.4409,0,2.4409,10
-3.0992,0,3.0992,11
-3.4153,0,3.4153,12
-4.5754,0,4.5754,13
-5.3937,0,5.3937,14
-5.7956,0,5.7956,15
5.7076,0,5.7076,1
4.6075,0,4.6075,2
3.6764,0,3.6764,3
2.6748,0,2.6748,4
1.704,0,1.704,5
1.2563,0,1.2563,6
0.6735,0,0.6735,7
-0.7945,0,0.7945,8
-1.221,0,1.221,9
-2.2061,0,2.2061,10
-3.0731,0,3.0731,11
-3.2308,0,3.2308,12
-4.559,0,4.559,13
-6.0048,0,6.0048,14
-7.1089,0,7.1089,15
6.9193,0,6.9193,1
6.1127,0,6.1127,2
4.6705,0,4.6705,3
3.5903,0,3.5903,4
3.0227,0,3.0227,5
2.7571,0,2.7571,6
1.5713,0,1.5713,7
0.68,0,0.68,8
-0.437,0,0.437,9
-1.5254,0,1.5254,10
-2.4276,0,2.4276,11
-3.3115,0,3.3115,12
-4.5085,0,4.5085,13
-5.1887,0,5.1887,14
-6.2252,0,6.2252,15
7.9135,0,7.9135,1
5.5332,0,5.5332,2
5.0926,0,5.0926,3
4.2409,0,4.2409,4
3.4536,0,3.4536,5
1.9877,0,1.9877,6
0.7521,0,0.7521,7
0.2667,0,0.2667,8
-1.6936,0,1.6936,9
-1.8354,0,1.8354,10
-3.2448,0,3.2448,11
-3.3879,0,3.3879,12
-3.8753,0,3.8753,13
-4.4363,0,4.4363,14
-6.8367,0,6.8367,15
8.2668,0,8.2668,1
6.0488,0,6.0488,2
4.3275,0,4.3275,3
3.6522,0,3.6522,4
2.8135,0,2.8135,5
0.7978,0,0.7978,6
0.5131,0,0.5131,7
0.2418,0,0.2418,8
-0.3188,0,0.3188,9
-1.2036,0,1.2036,10
-2.6684,0,2.6684,11
-3.339,0,3.339,12
-4.0433,0,4.0433,13
-5.5797,0,5.5797,14
-7.7105,0,7.7105,15
6.365,0,6.365,1
5.067,0,5.067,2
4.6961,0,4.6961,3
4.0764,0,4.0764,4
2.1958,0,2.1958,5
1.3828,0,1.3828,6
0.9344,0,0.9344,7
0.024,0,0.024,8
-0.6373,0,0.6373,9
-1.3255,0,1.3255,10
-1.6325,0,1.6325,11
-2.6099,0,2.6099,12
-3.0183,0,3.0183,13
-5.423,0,5.423,14
-6.7891,0,6.7891,15
6.3983,0,6.3983,1
4.8634,0,4.8634,2
4.443,0,4.443,3
3.6083,0,3.6083,4
2.4384,0,2.4384,5
1.5965,0,1.5965,6
1.4425,0,1.4425,7
-0.8781,0,0.8781,8
-1.1558,0,1.1558,9
-1.9225,0,1.9225,10
-2.6567,0,2.6567,11
-3.0503,0,3.0503,12
-3.4886,0,3.4886,13
-4.7899,0,4.7899,14
-6.7941,0,6.7941,15
7.9215,0,7.9215,1
5.8813,0,5.8813,2
4.4706,0,4.4706,3
3.5631,0,3.5631,4
2.7368,0,2.7368,5
2.3791,0,2.3791,6
1.2124,0,1.2124,7
0.3466,0,0.3466,8
-0.3685,0,0.3685,9
-0.8666,0,0.8666,10
-1.9268,0,1.9268,11
-3.4277,0,3.4277,12
-4.9115,0,4.9115,13
-5.9973,0,5.9973,14
-7.0755,0,7.0755,15
5.7899,0,5.7899,1
4.5984,0,4.5984,2
3.9193,0,3.9193,3
3.4966,0,3.4966,4
2.6766,0,2.6766,5
1.9399,0,1.9399,6
0.3048,0,0.3048,7
-0.3039,0,0.3039,8
-1.084,0,1.084,9
-1.7157,0,1.7157,10
-1.8323,0,1.8323,11
-3.2248,0,3.2248,12
-4.828,0,4.828,13
-5.4711,0,5.4711,14
-6.3392,0,6.3392,15
5.8992,0,5.8992,1
4.1578,0,4.1578,2
3.3972,0,3.3972,3
2.7757,0,2.7757,4
1.56,0,1.56,5
1.3965,0,1.3965,6
0.7856,0,0.7856,7
0.0562,0,0.0562,8
-0.9339,0,0.9339,9
-1.2476,0,1.2476,10
-2.716,0,2.716,11
-3.4787,0,3.4787,12
-4.3311,0,4.3311,13
-5.5113,0,5.5113,14
-6.5966,0,6.5966,15
7.3447,0,7.3447,1
4.7604,0,4.7604,2
4.0234,0,4.0234,3
3.3836,0,3.3836,4
2.6325,0,2.6325,5
2.3059,0,2.3059,6
0.0859,0,0.0859,7
-0.5223,0,0.5223,8
-1.7732,0,1.7732,9
-2.0298,0,2.0298,10
-2.7541,0,2.7541,11
-4.0062,0,4.0062,12
-4.7583,0,4.7583,13
-5.3624,0,5.3624,14
-8.4224,0,8.4224,15
6.6815,0,6.6815,1
5.8234,0,5.8234,2
5.2543,0,5.2543,3
3.8189,0,3.8189,4
3.226,0,3.226,5
1.9645,0,1.9645,6
1.4254,0,1.4254,7
0.0575,0,0.0575,8
-0.3614,0,0.3614,9
-1.0011,0,1.0011,10
-2.9137,0,2.9137,11
-3.6244,0,3.6244,12
-4.604,0,4.604,13
-6.4612,0,6.4612,14
-7.7241,0,7.7241,15
5.8341,0,5.8341,1
4.7728,0,4.7728,2
4.3,0,4.3,3
3.3044,0,3.3044,4
3.1785,0,3.1785,5
1.951,0,1.951,6
1.6932,0,1.6932,7
1.1988,0,1.1988,8
-0.365,0,0.365,9
-0.7511,0,0.7511,10
-1.9873,0,1.9873,11
-3.4656,0,3.4656,12
-4.5502,0,4.5502,13
-5.3545,0,5.3545,14
-6.8133,0,6.8133,15
7.4593,0,7.4593,1
4.611,0,4.611,2
3.673,0,3.673,3
3.0159,0,3.0159,4
2.358,0,2.358,5
2.0506,0,2.0506,6
0.7006,0,0.7006,7
-0.0709,0,0.0709,8
-0.4555,0,0.4555,9
-1.2933,0,1.2933,10
-1.8776,0,1.8776,11
-3.1624,0,3.1624,12
-4.6163,0,4.6163,13
-5.1539,0,5.1539,14
-6.9662,0,6.9662,15
7.8067,0,7.8067,1
5.5241,0,5.5241,2
4.0261,0,4.0261,3
2.8783,0,2.8783,4
2.0855,0,2.0855,5
1.4742,0,1.4742,6
1.3888,0,1.3888,7
0.3236,0,0.3236,8
-0.5733,0,0.5733,9
-1.8414,0,1.8414,10
-2.8322,0,2.8322,11
-3.8658,0,3.8658,12
-5.304,0,5.304,13
-6.2965,0,6.2965,14
-7.0803,0,7.0803,15
5.8515,0,5.8515,1
5.3273,0,5.3273,2
4.7247,0,4.7247,3
3.3093,0,3.3093,4
2.8955,0,2.8955,5
1.9451,0,1.9451,6
0.5619,0,0.5619,7
-0.0707,0,0.0707,8
-0.8568,0,0.8568,9
-2.5109,0,2.5109,10
-2.8554,0,2.8554,11
-3.4291,0,3.4291,12
-4.7436,0,4.7436,13
-6.2047,0,6.2047,14
-7.1912,0,7.1912,15
6.1394,0,6.1394,1
5.3902,0,5.3902,2
3.6593,0,3.6593,3
3.0134,0,3.0134,4
2.3399,0,2.3399,5
1.8184,0,1.8184,6
0.2918,0,0.2918,7
-0.5692,0,0.5692,8
-1.1391,0,1.1391,9
-1.511,0,1.511,10
-2.2446,0,2.2446,11
-2.6662,0,2.6662,12
-3.6285,0,3.6285,13
-5.3711,0,5.3711,14
-6.8657,0,6.8657,15
7.8769,0,7.8769,1
6.0467,0,6.0467,2
4.6493,0,4.6493,3
3.1436,0,3.1436,4
1.8523,0,1.8523,5
1.6769,0,1.6769,6
1.4678,0,1.4678,7
-0.2499,0,0.2499,8
-1.1467,0,1.1467,9
-1.9097,0,1.9097,10
-2.2915,0,2.2915,11
-3.2387,0,3.2387,12
-4.3693,0,4.3693,13
-5.9882,0,5.9882,14
-6.4318,0,6.4318,15
6.1834,0,6.1834,1
5.4268,0,5.4268,2
4.6248,0,4.6248,3
3.891,0,3.891,4
3.0657,0,3.0657,5
2.0928,0,2.0928,6
1.2768,0,1.2768,7
-0.3015,0,0.3015,8
-0.741,0,0.741,9
-1.938,0,1.938,10
-2.0198,0,2.0198,11
-3.577,0,3.577,12
-4.2537,0,4.2537,13
-5.2162,0,5.2162,14
-5.677,0,5.677,15
6.2809,0,6.2809,1
5.6239,0,5.6239,2
3.7555,0,3.7555,3
3.4484,0,3.4484,4
2.4663,0,2.4663,5
1.1827,0,1.1827,6
0.6285,0,0.6285,7
-0.6218,0,0.6218,8
-1.2775,0,1.2775,9
-2.3576,0,2.3576,10
-2.7882,0,2.7882,11
-3.1659,0,3.1659,12
-4.1782,0,4.1782,13
-5.3074,0,5.3074,14
-6.2603,0,6.2603,15
5.7419,0,5.7419,1
5.2016,0,5.2016,2
4.2474,0,4.2474,3
3.4531,0,3.4531,4
2.2659,0,2.2659,5
1.7268,0,1.7268,6
1.0879,0,1.0879,7
-0.4289,0,0.4289,8
-1.5534,0,1.5534,9
-1.9563,0,1.9563,10
-3.1353,0,3.1353,11
-3.6541,0,3.6541,12
-4.4326,0,4.4326,13
-5.2352,0,5.2352,14
-5.5287,0,5.5287,15
6.4127,0,6.4127,1
4.6363,0,4.6363,2
4.0188,0,4.0188,3
3.2349,0,3.2349,4
2.8047,0,2.8047,5
2.6637,0,2.6637,6
1.4433,0,1.4433,7
0.1644,0,0.1644,8
-1.0458,0,1.0458,9
-2.2601,0,2.2601,10
-2.9589,0,2.9589,11
-3.2967,0,3.2967,12
-4.1466,0,4.1466,13
-5.3372,0,5.3372,14
-6.4249,0,6.4249,15
