"Re","Im","Norm","Order"
-2.0395,0,2.0395,12
-1.2096,0,1.2096,13
0.7304,0,0.7304,14
0.0079,0,0.0079,15
8.2158,0,8.2158,1
-8.1954,0,8.1954,2
-7.856,0,7.856,3
7.0321,0,7.0321,4
-6.4995,0,6.4995,5
5.4488,0,5.4488,6
-5.2951,0,5.2951,7
4.0933,0,4.0933,8
-3.2857,0,3.2857,9
2.9438,0,2.9438,10
-2.447,0,2.447,11
2.1852,0,2.1852,12
-1.9967,0,1.9967,13
1.2356,0,1.2356,14
0.419,0,0.419,15
10.0898,0,10.0898,1
-8.8757,0,8.8757,2
8.5964,0,8.5964,3
-8.0108,0,8.0108,4
7.3193,0,7.3193,5
-6.2322,0,6.2322,6
4.8869,0,4.8869,7
-4.4595,0,4.4595,8
-3.4718,0,3.4718,9
3.4678,0,3.4678,10
2.438,0,2.438,11
-2.0909,0,2.0909,12
1.3842,0,1.3842,13
0.5651,0,0.5651,14
-0.5228,0,0.5228,15
-9.4758,0,9.4758,1
8.302,0,8.302,2
-8.0162,0,8.0162,3
7.1764,0,7.1764,4
-6.7559,0,6.7559,5
5.6592,0,5.6592,6
-5.0799,0,5.0799,7
-4.0575,0,4.0575,8
3.8923,0,3.8923,9
2.6252,0,2.6252,10
-2.4704,0,2.4704,11
2.3724,0,2.3724,12
-1.1909,0,1.1909,13
0.7716,0,0.7716,14
-0.4247,0,0.4247,15
9.5932,0,9.5932,1
-8.9431,0,8.9431,2
-7.7133,0,7.7133,3
7.7033,0,7.7033,4
-6.4963,0,6.4963,5
5.9143,0,5.9143,6
-4.8683,0,4.8683,7
4.5193,0,4.5193,8
-4.2287,0,4.2287,9
3.5158,0,3.5158,10
-2.4729,0,2.4729,11
2.4187,0,2.4187,12
1.7263,0,1.7263,13
-0.9949,0,0.9949,14
0.519,0,0.519,15
9.5799,0,9.5799,1
-8.4187,0,8.4187,2
8.2683,0,8.2683,3
-7.1218,0,7.1218,4
6.3688,0,6.3688,5
-5.5075,0,5.5075,6
-4.8959,0,4.8959,7
4.7888,0,4.7888,8
-3.5816,0,3.5816,9
3.3924,0,3.3924,10
-2.7052,0,2.7052,11
2.6392,0,2.6392,12
-0.973,0,0.973,13
0.7698,0,0.7698,14
-0.1291,0,0.1291,15
-9.2077,0,9.2077,1
8.2451,0,8.2451,2
7.2734,0,7.2734,3
-7.1218,0,7.1218,4
-6.1038,0,6.1038,5
5.4457,0,5.4457,6
-5.1979,0,5.1979,7
4.7932,0,4.7932,8
-3.9925,0,3.9925,9
3.1054,0,3.1054,10
-2.6668,0,2.6668,11
2.0479,0,2.0479,12
-1.399,0,1.399,13
0.6764,0,0.6764,14
-0.4244,0,0.4244,15
-9.9271,0,9.9271,1
9.6266,0,9.6266,2
-8.1969,0,8.1969,3
7.7471,0,7.7471,4
6.143,0,6.143,5
-6.0118,0,6.0118,6
-5.3815,0,5.3815,7
4.9648,0,4.9648,8
4.0064,0,4.0064,9
-3.3701,0,3.3701,10
2.6579,0,2.6579,11
1.4774,0,1.4774,12
-1.4703,0,1.4703,13
-0.4849,0,0.4849,14
0.2173,0,0.2173,15
8.811,0,8.811,1
-8.734,0,8.734,2
7.1725,0,7.1725,3
-6.6266,0,6.6266,4
5.6858,0,5.6858,5
-5.5493,0,5.5493,6
4.6531,0,4.6531,7
-4.5254,0,4.5254,8
3.2237,0,3.2237,9
-2.7527,0,2.7527,10
1.7964,0,1.7964,11
-1.5275,0,1.5275,12
1.1715,0,1.1715,13
-0.9825,0,0.9825,14
0.1924,0,0.1924,15
-9.2878,0,9.2878,1
7.7389,0,7.7389,2
7.006,0,7.006,3
-6.7981,0,6.7981,4
6.1042,0,6.1042,5
-5.8903,0,5.8903,6
-4.9162,0,4.9162,7
4.8608,0,4.8608,8
3.543,0,3.543,9
-3.3262,0,3.3262,10
2.3782,0,2.3782,11
-2.3566,0,2.3566,12
-1.1236,0,1.1236,13
0.8944,0,0.8944,14
-0.139,0,0.139,15
9.0504,0,9.0504,1
-8.8856,0,8.8856,2
7.8963,0,7.8963,3
-7.1717,0,7.1717,4
6.2948,0,6.2948,5
-5.5165,0,5.5165,6
4.9407,0,4.9407,7
-4.5573,0,4.5573,8
4.0605,0,4.0605,9
-3.5005,0,3.5005,10
2.8867,0,2.8867,11
2.2217,0,2.2217,12
-1.8728,0,1.8728,13
-1.1621,0,1.1621,14
0.0683,0,0.0683,15
8.7694,0,8.7694,1
-8.6809,0,8.6809,2
7.7271,0,7.7271,3
-6.6947,0,6.6947,4
-6.1215,0,6.1215,5
5.5322,0,5.5322,6
-5.2427,0,5.2427,7
5.1142,0,5.1142,8
-3.7606,0,3.7606,9
3.4537,0,3.4537,10
2.2294,0,2.2294,11
-2.0427,0,2.0427,12
-1.4757,0,1.4757,13
0.8683,0,0.8683,14
0.1822,0,0.1822,15
8.7394,0,8.7394,1
-8.3025,0,8.3025,2
7.9706,0,7.9706,3
-6.6911,0,6.6911,4
6.4115,0,6.4115,5
-5.5092,0,5.5092,6
5.0891,0,5.0891,7
4.3524,0,4.3524,8
-4.0925,0,4.0925,9
-3.2596,0,3.2596,10
3.0067,0,3.0067,11
-2.3767,0,2.3767,12
1.5953,0,1.5953,13
-0.8382,0,0.8382,14
0.1765,0,0.1765,15
9.1378,0,9.1378,1
8.5018,0,8.5018,2
-8.0807,0,8.0807,3
-7.2225,0,7.2225,4
6.889,0,6.889,5
-6.1423,0,6.1423,6
5.4139,0,5.4139,7
-4.4395,0,4.4395,8
-3.728,0,3.728,9
3.4345,0,3.4345,10
-2.5147,0,2.5147,11
2.4077,0,2.4077,12
-1.6225,0,1.6225,13
1.273,0,1.273,14
0.01,0,0.01,15
9.2725,0,9.2725,1
-8.9441,0,8.9441,2
7.8184,0,7.8184,3
-7.721,0,7.721,4
6.4371,0,6.4371,5
5.4466,0,5.4466,6
-5.3533,0,5.3533,7
-4.4042,0,4.4042,8
4.0298,0,4.0298,9
2.9409,0,2.9409,10
-2.856,0,2.856,11
-1.8605,0,1.8605,12
1.5734,0,1.5734,13
0.6382,0,0.6382,14
-0.3565,0,0.3565,15
9.0137,0,9.0137,1
-8.9946,0,8.9946,2
-7.6572,0,7.6572,3
7.4208,0,7.4208,4
-6.7697,0,6.7697,5
6.1457,0,6.1457,6
-5.6565,0,5.6565,7
4.9103,0,4.9103,8
-4.409,0,4.409,9
3.2567,0,3.2567,10
-2.9285,0,2.9285,11
2.5234,0,2.5234,12
-1.1943,0,1.1943,13
1.1786,0,1.1786,14
-0.0141,0,0.0141,15
9.4184,0,9.4184,1
-9.3797,0,9.3797,2
-7.5406,0,7.5406,3
6.9969,0,6.9969,4
6.1203,0,6.1203,5
-5.992,0,5.992,6
-4.6725,0,4.6725,7
4.5906,0,4.5906,8
-3.4278,0,3.4278,9
3.3675,0,3.3675,10
2.2542,0,2.2542,11
-2.0605,0,2.0605,12
-1.4089,0,1.4089,13
0.951,0,0.951,14
-0.175,0,0.175,15
9.7255,0,9.7255,1
-8.2742,0,8.2742,2
7.2215,0,7.2215,3
-7.1643,0,7.1643,4
-6.2293,0,6.2293,5
5.9124,0,5.9124,6
-5.1254,0,5.1254,7
4.0398,0,4.0398,8
-3.7993,0,3.7993,9
3.0451,0,3.0451,10
2.3144,0,2.3144,11
-2.1332,0,2.1332,12
-1.3472,0,1.3472,13
1.3428,0,1.3428,14
0.0625,0,0.0625,15
9.698,0,9.698,1
-8.5372,0,8.5372,2
7.7112,0,7.7112,3
-6.8529,0,6.8529,4
5.7563,0,5.7563,5
-5.5634,0,5.5634,6
4.7758,0,4.7758,7
-3.8583,0,3.8583,8
3.8561,0,3.8561,9
2.6518,0,2.6518,10
-2.0675,0,2.0675,11
-1.3591,0,1.3591,12
1.2823,0,1.2823,13
-0.326,0,0.326,14
0.2009,0,0.2009,15
10.2554,0,10.2554,1
-10.1532,0,10.1532,2
