"Re","Im","Norm","Order"
-1.3887,0,1.3887,13
-0.6628,0,0.6628,14
0.2151,0,0.2151,15
6.196,0,6.196,1
-5.4486,0,5.4486,2
-5.2608,0,5.2608,3
4.8406,0,4.8406,4
3.9445,0,3.9445,5
-3.7611,0,3.7611,6
3.6838,0,3.6838,7
-3.1357,0,3.1357,8
2.4838,0,2.4838,9
-2.4694,0,2.4694,10
-2.1536,0,2.1536,11
1.7468,0,1.7468,12
1.2656,0,1.2656,13
-1.0993,0,1.0993,14
0.1759,0,0.1759,15
-7.6319,0,7.6319,1
6.2138,0,6.2138,2
-5.4522,0,5.4522,3
5.3141,0,5.3141,4
3.888,0,3.888,5
-3.7683,0,3.7683,6
3.3586,0,3.3586,7
-2.5397,0,2.5397,8
-2.2275,0,2.2275,9
2.1249,0,2.1249,10
1.6226,0,1.6226,11
-0.7387,0,0.7387,12
-0.7049,0,0.7049,13
0.4024,0,0.4024,14
0.1948,0,0.1948,15
-5.316,0,5.316,1
5.0499,0,5.0499,2
-4.6595,0,4.6595,3
-4.4478,0,4.4478,4
3.9564,0,3.9564,5
-3.4645,0,3.4645,6
2.9486,0,2.9486,7
1.9911,0,1.9911,8
-1.9386,0,1.9386,9
1.7757,0,1.7757,10
-1.5584,0,1.5584,11
-1.14,0,1.14,12
0.9251,0,0.9251,13
0.5205,0,0.5205,14
-0.3237,0,0.3237,15
-7.5189,0,7.5189,1
6.0912,0,6.0912,2
-6.01,0,6.01,3
5.3789,0,5.3789,4
-5.2208,0,5.2208,5
-3.9139,0,3.9139,6
3.8367,0,3.8367,7
3.066,0,3.066,8
-2.8925,0,2.8925,9
2.6557,0,2.6557,10
-2.1555,0,2.1555,11
1.7982,0,1.7982,12
1.184,0,1.184,13
-0.6731,0,0.6731,14
0.1382,0,0.1382,15
6.4472,0,6.4472,1
5.2954,0,5.2954,2
-4.7361,0,4.7361,3
-4.1955,0,4.1955,4
3.9519,0,3.9519,5
-3.9165,0,3.9165,6
3.3153,0,3.3153,7
-3.1261,0,3.1261,8
2.183,0,2.183,9
1.7298,0,1.7298,10
-1.6203,0,1.6203,11
-1.5016,0,1.5016,12
-1.1863,0,1.1863,13
-0.614,0,0.614,14
0.4931,0,0.4931,15
6.7604,0,6.7604,1
-5.7956,0,5.7956,2
5.7888,0,5.7888,3
-5.3937,0,5.3937,4
-4.5754,0,4.5754,5
3.9916,0,3.9916,6
-3.4153,0,3.4153,7
3.2625,0,3.2625,8
-3.0992,0,3.0992,9
2.4669,0,2.4669,10
-2.4409,0,2.4409,11
-1.7308,0,1.7308,12
1.3137,0,1.3137,13
0.9731,0,0.9731,14
-0.8817,0,0.8817,15
-7.1089,0,7.1089,1
-6.0048,0,6.0048,2
5.7076,0,5.7076,3
4.6075,0,4.6075,4
-4.559,0,4.559,5
3.6764,0,3.6764,6
-3.2308,0,3.2308,7
-3.0731,0,3.0731,8
2.6748,0,2.6748,9
-2.2061,0,2.2061,10
1.704,0,1.704,11
1.2563,0,1.2563,12
-1.221,0,1.221,13
-0.7945,0,0.7945,14
0.6735,0,0.6735,15
6.9193,0,6.9193,1
-6.2252,0,6.2252,2
6.1127,0,6.1127,3
-5.1887,0,5.1887,4
4.6705,0,4.6705,5
-4.5085,0,4.5085,6
3.5903,0,3.5903,7
-3.3115,0,3.3115,8
3.0227,0,3.0227,9
2.7571,0,2.7571,10
-2.4276,0,2.4276,11
1.5713,0,1.5713,12
-1.5254,0,1.5254,13
0.68,0,0.68,14
-0.437,0,0.437,15
7.9135,0,7.9135,1
-6.8367,0,6.8367,2
5.5332,0,5.5332,3
5.0926,0,5.0926,4
-4.4363,0,4.4363,5
4.2409,0,4.2409,6
-3.8753,0,3.8753,7
3.4536,0,3.4536,8
-3.3879,0,3.3879,9
-3.2448,0,3.2448,10
1.9877,0,1.9877,11
-1.8354,0,1.8354,12
-1.6936,0,1.6936,13
0.7521,0,0.7521,14
0.2667,0,0.2667,15
8.2668,0,8.2668,1
-7.7105,0,7.7105,2
6.0488,0,6.0488,3
-5.5797,0,5.5797,4
4.3275,0,4.3275,5
-4.0433,0,4.0433,6
3.6522,0,3.6522,7
-3.339,0,3.339,8
2.8135,0,2.8135,9
-2.6684,0,2.6684,10
-1.2036,0,1.2036,11
0.7978,0,0.7978,12
0.5131,0,0.5131,13
-0.3188,0,0.3188,14
0.2418,0,0.2418,15
-6.7891,0,6.7891,1
6.365,0,6.365,2
-5.423,0,5.423,3
5.067,0,5.067,4
4.6961,0,4.6961,5
4.0764,0,4.0764,6
-3.0183,0,3.0183,7
-2.6099,0,2.6099,8
2.1958,0,2.1958,9
-1.6325,0,1.6325,10
1.3828,0,1.3828,11
-1.3255,0,1.3255,12
0.9344,0,0.9344,13
-0.6373,0,0.6373,14
0.024,0,0.024,15
-6.7941,0,6.7941,1
6.3983,0,6.3983,2
4.8634,0,4.8634,3
-4.7899,0,4.7899,4
4.443,0,4.443,5
3.6083,0,3.6083,6
-3.4886,0,3.4886,7
-3.0503,0,3.0503,8
-2.6567,0,2.6567,9
2.4384,0,2.4384,10
-1.9225,0,1.9225,11
1.5965,0,1.5965,12
1.4425,0,1.4425,13
-1.1558,0,1.1558,14
-0.8781,0,0.8781,15
7.9215,0,7.9215,1
-7.0755,0,7.0755,2
-5.9973,0,5.9973,3
5.8813,0,5.8813,4
-4.9115,0,4.9115,5
4.4706,0,4.4706,6
3.5631,0,3.5631,7
-3.4277,0,3.4277,8
2.7368,0,2.7368,9
2.3791,0,2.3791,10
-1.9268,0,1.9268,11
1.2124,0,1.2124,12
-0.8666,0,0.8666,13
-0.3685,0,0.3685,14
0.3466,0,0.3466,15
-6.3392,0,6.3392,1
5.7899,0,5.7899,2
-5.4711,0,5.4711,3
-4.828,0,4.828,4
4.5984,0,4.5984,5
3.9193,0,3.9193,6
3.4966,0,3.4966,7
-3.2248,0,3.2248,8
2.6766,0,2.6766,9
1.9399,0,1.9399,10
-1.8323,0,1.8323,11
-1.7157,0,1.7157,12
-1.084,0,1.084,13
0.3048,0,0.3048,14
-0.3039,0,0.3039,15
-6.5966,0,6.5966,1
5.8992,0,5.8992,2
-5.5113,0,5.5113,3
-4.3311,0,4.3311,4
4.1578,0,4.1578,5
-3.4787,0,3.4787,6
3.3972,0,3.3972,7
2.7757,0,2.7757,8
-2.716,0,2.716,9
1.56,0,1.56,10
1.3965,0,1.3965,11
-1.2476,0,1.2476,12
-0.9339,0,0.9339,13
0.7856,0,0.7856,14
0.0562,0,0.0562,15
-8.4224,0,8.4224,1
7.3447,0,7.3447,2
-5.3624,0,5.3624,3
4.7604,0,4.7604,4
-4.7583,0,4.7583,5
4.0234,0,4.0234,6
-4.0062,0,4.0062,7
3.3836,0,3.3836,8
-2.7541,0,2.7541,9
2.6325,0,2.6325,10
2.3059,0,2.3059,11
-2.0298,0,2.0298,12
-1.7732,0,1.7732,13
-0.5223,0,0.5223,14
0.0859,0,0.0859,15
-7.7241,0,7.7241,1
6.6815,0,6.6815,2
-6.4612,0,6.4612,3
5.8234,0,5.8234,4
5.2543,0,5.2543,5
-4.604,0,4.604,6
3.8189,0,3.8189,7
-3.6244,0,3.6244,8
3.226,0,3.226,9
-2.9137,0,2.9137,10
1.9645,0,1.9645,11
1.4254,0,1.4254,12
-1.0011,0,1.0011,13
-0.3614,0,0.3614,14
0.0575,0,0.0575,15
-6.8133,0,6.8133,1
5.8341,0,5.8341,2
-5.3545,0,5.3545,3
4.7728,0,4.7728,4
-4.5502,0,4.5502,5
4.3,0,4.3,6
-3.4656,0,3.4656,7
3.3044,0,3.3044,8
3.1785,0,3.1785,9
-1.9873,0,1.9873,10
1.951,0,1.951,11
1.6932,0,1.6932,12
1.1988,0,1.1988,13
-0.7511,0,0.7511,14
-0.365,0,0.365,15
7.4593,0,7.4593,1
-6.9662,0,6.9662,2
-5.1539,0,5.1539,3
-4.6163,0,4.6163,4
4.611,0,4.611,5
3.673,0,3.673,6
-3.1624,0,3.1624,7
3.0159,0,3.0159,8
2.358,0,2.358,9
2.0506,0,2.0506,10
-1.8776,0,1.8776,11
-1.2933,0,1.2933,12
0.7006,0,0.7006,13
-0.4555,0,0.4555,14
-0.0709,0,0.0709,15
7.8067,0,7.8067,1
-7.0803,0,7.0803,2
-6.2965,0,6.2965,3
5.5241,0,5.5241,4
-5.304,0,5.304,5
4.0261,0,4.0261,6
-3.8658,0,3.8658,7
2.8783,0,2.8783,8
-2.8322,0,2.8322,9
2.0855,0,2.0855,10
-1.8414,0,1.8414,11
1.4742,0,1.4742,12
1.3888,0,1.3888,13
-0.5733,0,0.5733,14
0.3236,0,0.3236,15
-7.1912,0,7.1912,1
-6.2047,0,6.2047,2
5.8515,0,5.8515,3
5.3273,0,5.3273,4
-4.7436,0,4.7436,5
4.7247,0,4.7247,6
-3.4291,0,3.4291,7
3.3093,0,3.3093,8
2.8955,0,2.8955,9
-2.8554,0,2.8554,10
-2.5109,0,2.5109,11
1.9451,0,1.9451,12
-0.8568,0,0.8568,13
0.5619,0,0.5619,14
-0.0707,0,0.0707,15
-6.8657,0,6.8657,1
6.1394,0,6.1394,2
5.3902,0,5.3902,3
-5.3711,0,5.3711,4
3.6593,0,3.6593,5
-3.6285,0,3.6285,6
3.0134,0,3.0134,7
-2.6662,0,2.6662,8
2.3399,0,2.3399,9
-2.2446,0,2.2446,10
1.8184,0,1.8184,11
-1.511,0,1.511,12
-1.1391,0,1.1391,13
-0.5692,0,0.5692,14
0.2918,0,0.2918,15
7.8769,0,7.8769,1
-6.4318,0,6.4318,2
6.0467,0,6.0467,3
-5.9882,0,5.9882,4
4.6493,0,4.6493,5
-4.3693,0,4.3693,6
-3.2387,0,3.2387,7
3.1436,0,3.1436,8
-2.2915,0,2.2915,9
-1.9097,0,1.9097,10
1.8523,0,1.8523,11
1.6769,0,1.6769,12
1.4678,0,1.4678,13
-1.1467,0,1.1467,14
-0.2499,0,0.2499,15
6.1834,0,6.1834,1
-5.677,0,5.677,2
5.4268,0,5.4268,3
-5.2162,0,5.2162,4
4.6248,0,4.6248,5
-4.2537,0,4.2537,6
3.891,0,3.891,7
-3.577,0,3.577,8
3.0657,0,3.0657,9
2.0928,0,2.0928,10
-2.0198,0,2.0198,11
-1.938,0,1.938,12
1.2768,0,1.2768,13
-0.741,0,0.741,14
-0.3015,0,0.3015,15
6.2809,0,6.2809,1
-6.2603,0,6.2603,2
